Slno,Course,Vacant Seats,Differently Abled,College,District,College Sector,Course Sector
65,BA - Economics,0,0,"Govt. College For Women, Vazhuthacaud",Thiruvananthapuram,Government,Government
66,BA - English,1,0,"Govt. College For Women, Vazhuthacaud",Thiruvananthapuram,Government,Government
67,BA - Hindi,0,0,"Govt. College For Women, Vazhuthacaud",Thiruvananthapuram,Government,Government
68,BA - History,1,0,"Govt. College For Women, Vazhuthacaud",Thiruvananthapuram,Government,Government
69,BA - Malayalam,0,0,"Govt. College For Women, Vazhuthacaud",Thiruvananthapuram,Government,Government
70,BA - Philosophy,0,0,"Govt. College For Women, Vazhuthacaud",Thiruvananthapuram,Government,Government
71,BSc - Psychology,0,1,"Govt. College For Women, Vazhuthacaud",Thiruvananthapuram,Government,Government
72,BSc - Botany,1,2,"Govt. College For Women, Vazhuthacaud",Thiruvananthapuram,Government,Government
73,BSc - Chemistry,1,2,"Govt. College For Women, Vazhuthacaud",Thiruvananthapuram,Government,Government
74,BSc - Home Science,0,0,"Govt. College For Women, Vazhuthacaud",Thiruvananthapuram,Government,Government
75,BSc - Biochemistry and Industrial Microbiology,0,1,"Govt. College For Women, Vazhuthacaud",Thiruvananthapuram,Government,Government
76,BSc - Mathematics,0,2,"Govt. College For Women, Vazhuthacaud",Thiruvananthapuram,Government,Government
77,BSc - Physics,0,1,"Govt. College For Women, Vazhuthacaud",Thiruvananthapuram,Government,Government
78,BSc - Statistics,5,2,"Govt. College For Women, Vazhuthacaud",Thiruvananthapuram,Government,Government
79,BSc - Zoology,1,1,"Govt. College For Women, Vazhuthacaud",Thiruvananthapuram,Government,Government
80,BA - Honours in English Language & Literature,0,2,"Govt. College For Women, Vazhuthacaud",Thiruvananthapuram,Government,Government
81,BCom - Finance,1,1,"Govt. College For Women, Vazhuthacaud",Thiruvananthapuram,Government,Government
82,BA - Economics,1,0,"Govt. Arts College, Thycadu",Thiruvananthapuram,Government,Government
83,BSc - Botany and Biotechnology,0,1,"Govt. Arts College, Thycadu",Thiruvananthapuram,Government,Government
84,BSc - Physics,0,1,"Govt. Arts College, Thycadu",Thiruvananthapuram,Government,Government
