Slno,Course,Vacant Seats,Differently Abled,College,District,College Sector,Course Sector
289,BSc - Chemistry,1,2,"V T M N S S College, Dhanuvachapuram",Thiruvananthapuram,Aided,Aided
290,BSc - Mathematics,4,2,"V T M N S S College, Dhanuvachapuram",Thiruvananthapuram,Aided,Aided
291,BSc - Physics,0,2,"V T M N S S College, Dhanuvachapuram",Thiruvananthapuram,Aided,Aided
292,BSc - Zoology,0,1,"V T M N S S College, Dhanuvachapuram",Thiruvananthapuram,Aided,Aided
293,BCom - Co-operation,1,1,"V T M N S S College, Dhanuvachapuram",Thiruvananthapuram,Aided,Aided
294,BA - Economics,1,2,"M M N S S College, Kottiyam",Kollam,Aided,Aided
295,BA - English,1,2,"M M N S S College, Kottiyam",Kollam,Aided,Aided
296,BSc - Chemistry,7,2,"M M N S S College, Kottiyam",Kollam,Aided,Aided
297,BSc - Physics,9,2,"M M N S S College, Kottiyam",Kollam,Aided,Aided
298,BSc - Zoology,6,1,"M M N S S College, Kottiyam",Kollam,Aided,Aided
299,BCom - Computer Application,0,0,"M M N S S College, Kottiyam",Kollam,Aided,Aided
300,BA - Economics,7,3,"Christian College, Chengannur",Alappuzha,Aided,Aided
301,BA - English,12,2,"Christian College, Chengannur",Alappuzha,Aided,Aided
302,BA - History,4,1,"Christian College, Chengannur",Alappuzha,Aided,Aided
303,BSc - Botany,17,2,"Christian College, Chengannur",Alappuzha,Aided,Aided
304,BSc - Chemistry,19,2,"Christian College, Chengannur",Alappuzha,Aided,Aided
305,BSc - Mathematics,26,2,"Christian College, Chengannur",Alappuzha,Aided,Aided
306,BSc - Physics,15,2,"Christian College, Chengannur",Alappuzha,Aided,Aided
307,BSc - Zoology,12,2,"Christian College, Chengannur",Alappuzha,Aided,Aided
308,BCom - Computer Application,1,0,"Christian College, Chengannur",Alappuzha,Aided,Aided
309,BBA - Logistics,7,3,"Christian College, Chengannur",Alappuzha,Aided,Aided
310,BA - English,0,2,"Sri Sathya Sai Arts and Science College,Sai Gramam,ThonnakkalSri Sathya Sai Arts and Science College,Sai Gramam,Thonnakkal",Thiruvananthapuram,Aided,Aided
311,BSc - Physics,16,1,"Sri Sathya Sai Arts and Science College,Sai Gramam,ThonnakkalSri Sathya Sai Arts and Science College,Sai Gramam,Thonnakkal",Thiruvananthapuram,Aided,Aided
312,BCom - Finance,0,1,"Sri Sathya Sai Arts and Science College,Sai Gramam,ThonnakkalSri Sathya Sai Arts and Science College,Sai Gramam,Thonnakkal",Thiruvananthapuram,Aided,Aided
313,BA - Economics,1,2,"Sree Sankara College, Kilimanoor",Thiruvananthapuram,Aided,Aided
314,BSc - Physics,8,2,"Sree Sankara College, Kilimanoor",Thiruvananthapuram,Aided,Aided
315,BCom - Commerce & Tax Procedure and Practice,0,2,"Sree Sankara College, Kilimanoor",Thiruvananthapuram,Aided,Aided
316,BA - Economics,8,3,"Bishop Moore College,Mavelikkara",Alappuzha,Aided,Aided
317,BA - English,6,0,"Bishop Moore College,Mavelikkara",Alappuzha,Aided,Aided
318,BA - Malayalam,4,0,"Bishop Moore College,Mavelikkara",Alappuzha,Aided,Aided
319,BSc - Botany,10,2,"Bishop Moore College,Mavelikkara",Alappuzha,Aided,Aided
320,BSc - Botany and Biotechnology,11,1,"Bishop Moore College,Mavelikkara",Alappuzha,Aided,Aided
321,BSc - Chemistry,9,2,"Bishop Moore College,Mavelikkara",Alappuzha,Aided,Aided
322,BSc - Mathematics,14,1,"Bishop Moore College,Mavelikkara",Alappuzha,Aided,Aided
323,BSc - Physics,9,2,"Bishop Moore College,Mavelikkara",Alappuzha,Aided,Aided
324,BSc - Zoology,9,2,"Bishop Moore College,Mavelikkara",Alappuzha,Aided,Aided
325,BCom - Finance,0,3,"Bishop Moore College,Mavelikkara",Alappuzha,Aided,Aided
326,BCom - Computer Application,0,0,"Bishop Moore College,Mavelikkara",Alappuzha,Aided,Aided
327,BA - Economics,1,3,"Kumbalathu Sankupilla Memorial Devaswom Board College, Sasthamcottah",Kollam,Aided,Aided
328,BA - English,0,1,"Kumbalathu Sankupilla Memorial Devaswom Board College, Sasthamcottah",Kollam,Aided,Aided
329,BA - Hindi,0,1,"Kumbalathu Sankupilla Memorial Devaswom Board College, Sasthamcottah",Kollam,Aided,Aided
330,BA - History,0,0,"Kumbalathu Sankupilla Memorial Devaswom Board College, Sasthamcottah",Kollam,Aided,Aided
331,BA - Malayalam,1,0,"Kumbalathu Sankupilla Memorial Devaswom Board College, Sasthamcottah",Kollam,Aided,Aided
332,BA - Political Science,2,0,"Kumbalathu Sankupilla Memorial Devaswom Board College, Sasthamcottah",Kollam,Aided,Aided
333,BA - Sanskrit(Vedanda),2,3,"Kumbalathu Sankupilla Memorial Devaswom Board College, Sasthamcottah",Kollam,Aided,Aided
334,BSc - Botany,0,2,"Kumbalathu Sankupilla Memorial Devaswom Board College, Sasthamcottah",Kollam,Aided,Aided
335,BSc - Chemistry,1,1,"Kumbalathu Sankupilla Memorial Devaswom Board College, Sasthamcottah",Kollam,Aided,Aided
336,BSc - Mathematics,5,2,"Kumbalathu Sankupilla Memorial Devaswom Board College, Sasthamcottah",Kollam,Aided,Aided
337,BSc - Physics,0,2,"Kumbalathu Sankupilla Memorial Devaswom Board College, Sasthamcottah",Kollam,Aided,Aided
338,BSc - Polymer Chemistry,4,1,"Kumbalathu Sankupilla Memorial Devaswom Board College, Sasthamcottah",Kollam,Aided,Aided
339,BSc - Statistics,5,2,"Kumbalathu Sankupilla Memorial Devaswom Board College, Sasthamcottah",Kollam,Aided,Aided
340,BSc - Zoology,1,2,"Kumbalathu Sankupilla Memorial Devaswom Board College, Sasthamcottah",Kollam,Aided,Aided
341,BCom - Co-operation,0,1,"Kumbalathu Sankupilla Memorial Devaswom Board College, Sasthamcottah",Kollam,Aided,Aided
342,BVoc - Software Development,1,1,"Kumbalathu Sankupilla Memorial Devaswom Board College, Sasthamcottah",Kollam,Aided,Aided
343,BVoc - Food Processing & Management,0,2,"Kumbalathu Sankupilla Memorial Devaswom Board College, Sasthamcottah",Kollam,Aided,Aided
344,BA - Economics,0,1,"M G College, TVPM",Thiruvananthapuram,Aided,Government
345,BA - English,1,2,"M G College, TVPM",Thiruvananthapuram,Aided,Government
346,BA - Hindi,2,1,"M G College, TVPM",Thiruvananthapuram,Aided,Government
347,BA - History,0,0,"M G College, TVPM",Thiruvananthapuram,Aided,Government
348,BA - Malayalam,0,0,"M G College, TVPM",Thiruvananthapuram,Aided,Government
349,BSc - Psychology,1,0,"M G College, TVPM",Thiruvananthapuram,Aided,Aided
350,BA - Sociology,0,0,"M G College, TVPM",Thiruvananthapuram,Aided,Aided
351,BSc - Botany,0,2,"M G College, TVPM",Thiruvananthapuram,Aided,Government
352,BSc - Chemistry,0,2,"M G College, TVPM",Thiruvananthapuram,Aided,Government
353,BSc - Mathematics,4,2,"M G College, TVPM",Thiruvananthapuram,Aided,Government
354,BSc - Physics,1,2,"M G College, TVPM",Thiruvananthapuram,Aided,Government
355,BSc - Zoology,2,2,"M G College, TVPM",Thiruvananthapuram,Aided,Government
356,BCom - Finance,2,1,"M G College, TVPM",Thiruvananthapuram,Aided,Government
357,BSc - Computer Science,9,1,"Sree Ayyappa College, Eramallikkara (PO), Thiruvanvandoor, Chengannur",Alappuzha,Aided,Aided
358,BSc - Electronics,26,1,"Sree Ayyappa College, Eramallikkara (PO), Thiruvanvandoor, Chengannur",Alappuzha,Aided,Aided
359,BSc - Biochemistry and Industrial Microbiology,16,1,"Sree Ayyappa College, Eramallikkara (PO), Thiruvanvandoor, Chengannur",Alappuzha,Aided,Aided
360,BSc - Mathematics,25,1,"Sree Ayyappa College, Eramallikkara (PO), Thiruvanvandoor, Chengannur",Alappuzha,Aided,Aided
361,BCom - Commerce with Computer Application,22,2,"Sree Ayyappa College, Eramallikkara (PO), Thiruvanvandoor, Chengannur",Alappuzha,Aided,Aided
362,BA - English and Media Studies,28,3,"Sree Ayyappa College, Eramallikkara (PO), Thiruvanvandoor, Chengannur",Alappuzha,Aided,Aided
363,BA - Economics,9,4,"N S S College, Pandalam",Pathanamthitta,Aided,Aided
364,BA - English,3,2,"N S S College, Pandalam",Pathanamthitta,Aided,Aided
365,BA - Hindi,18,2,"N S S College, Pandalam",Pathanamthitta,Aided,Aided
366,BA - History,1,2,"N S S College, Pandalam",Pathanamthitta,Aided,Aided
367,BA - Malayalam,6,2,"N S S College, Pandalam",Pathanamthitta,Aided,Aided
368,BA - Political Science,3,3,"N S S College, Pandalam",Pathanamthitta,Aided,Aided
369,BA - Sanskrit,24,2,"N S S College, Pandalam",Pathanamthitta,Aided,Aided
370,BSc - Bio Chemistry,13,2,"N S S College, Pandalam",Pathanamthitta,Aided,Aided
371,BSc - Botany,6,2,"N S S College, Pandalam",Pathanamthitta,Aided,Aided
372,BSc - Chemistry,18,2,"N S S College, Pandalam",Pathanamthitta,Aided,Aided
373,BSc - Geography,12,2,"N S S College, Pandalam",Pathanamthitta,Aided,Aided
374,BSc - Mathematics,28,2,"N S S College, Pandalam",Pathanamthitta,Aided,Aided
375,BSc - Physics,19,2,"N S S College, Pandalam",Pathanamthitta,Aided,Aided
376,BSc - Zoology,8,2,"N S S College, Pandalam",Pathanamthitta,Aided,Aided
377,BCom - Commerce & Tax Procedure and Practice,1,1,"N S S College, Pandalam",Pathanamthitta,Aided,Aided
378,BCom - Finance,0,3,"N S S College, Pandalam",Pathanamthitta,Aided,Aided
379,BA - Economics,2,0,"N S S College, Nilamel",Kollam,Aided,Aided
380,BA - English,0,2,"N S S College, Nilamel",Kollam,Aided,Aided
381,BA - History,1,0,"N S S College, Nilamel",Kollam,Aided,Aided
382,BA - Malayalam,1,1,"N S S College, Nilamel",Kollam,Aided,Aided
383,BSc - Bio Chemistry,5,1,"N S S College, Nilamel",Kollam,Aided,Aided
384,BSc - Botany,0,1,"N S S College, Nilamel",Kollam,Aided,Aided
385,BSc - Chemistry,8,2,"N S S College, Nilamel",Kollam,Aided,Aided
386,BSc - Mathematics,13,2,"N S S College, Nilamel",Kollam,Aided,Aided
387,BSc - Physics,6,1,"N S S College, Nilamel",Kollam,Aided,Aided
388,BSc - Zoology,5,1,"N S S College, Nilamel",Kollam,Aided,Aided
389,BCom - Finance,0,1,"N S S College, Nilamel",Kollam,Aided,Aided
390,BA - English & Communicative English,0,2,"S D College, Alappuzha",Alappuzha,Private,Aided
391,BA - Economics,0,1,"S D College, Alappuzha",Alappuzha,Private,Aided
392,BA - English,3,1,"S D College, Alappuzha",Alappuzha,Private,Aided
393,BA - Hindi,5,2,"S D College, Alappuzha",Alappuzha,Private,Aided
394,BA - History,0,0,"S D College, Alappuzha",Alappuzha,Private,Aided
395,BA - Malayalam,0,1,"S D College, Alappuzha",Alappuzha,Private,Aided
396,BSc - Botany,2,2,"S D College, Alappuzha",Alappuzha,Private,Aided
397,BSc - Chemistry,4,2,"S D College, Alappuzha",Alappuzha,Private,Aided
398,BSc - Mathematics,8,3,"S D College, Alappuzha",Alappuzha,Private,Aided
399,BSc - Physics,9,2,"S D College, Alappuzha",Alappuzha,Private,Aided
400,BSc - Zoology,0,2,"S D College, Alappuzha",Alappuzha,Private,Aided
401,BCom - Finance,1,2,"S D College, Alappuzha",Alappuzha,Private,Aided
402,BSc - Microbiology,0,1,"S D College, Alappuzha",Alappuzha,Private,Aided
403,BA - English & Communicative English,2,1,"St. Gregorios College, Kottarakara",Kollam,Aided,Aided
404,BA - Political Science,0,0,"St. Gregorios College, Kottarakara",Kollam,Aided,Aided
405,BSc - Botany,3,1,"St. Gregorios College, Kottarakara",Kollam,Aided,Aided
406,BSc - Chemistry,12,2,"St. Gregorios College, Kottarakara",Kollam,Aided,Aided
407,BSc - Mathematics,3,2,"St. Gregorios College, Kottarakara",Kollam,Aided,Aided
408,BSc - Physics,1,2,"St. Gregorios College, Kottarakara",Kollam,Aided,Aided
409,BSc - Zoology,7,2,"St. Gregorios College, Kottarakara",Kollam,Aided,Aided
410,BCom - Co-operation,0,0,"St. Gregorios College, Kottarakara",Kollam,Aided,Aided
411,BCom - Computer Application,0,0,"St. Gregorios College, Kottarakara",Kollam,Aided,Aided
412,BA - Economics,5,2,"St Cyrils College, Adoor",Pathanamthitta,Aided,Aided
413,BA - English,8,2,"St Cyrils College, Adoor",Pathanamthitta,Aided,Aided
414,BA - History,1,2,"St Cyrils College, Adoor",Pathanamthitta,Aided,Aided
415,BSc - Chemistry,18,1,"St Cyrils College, Adoor",Pathanamthitta,Aided,Aided
416,BCom - Computer Application,1,1,"St Cyrils College, Adoor",Pathanamthitta,Aided,Aided
417,BSc - Mathematics & Computer Application,17,2,"St Cyrils College, Adoor",Pathanamthitta,Aided,Aided
418,BA - English & Communicative English,7,2,"St Johns College, Anchal",Kollam,Aided,Aided
419,BA - Economics,4,2,"St Johns College, Anchal",Kollam,Aided,Aided
420,BA - Malayalam,3,0,"St Johns College, Anchal",Kollam,Aided,Aided
421,BA - Political Science,4,2,"St Johns College, Anchal",Kollam,Aided,Aided
422,BSc - Botany,3,2,"St Johns College, Anchal",Kollam,Aided,Aided
423,BSc - Chemistry,12,2,"St Johns College, Anchal",Kollam,Aided,Aided
424,BSc - Mathematics,15,2,"St Johns College, Anchal",Kollam,Aided,Aided
425,BSc - Physics,10,1,"St Johns College, Anchal",Kollam,Aided,Aided
426,BSc - Zoology,4,2,"St Johns College, Anchal",Kollam,Aided,Aided
427,BCom -,2,2,"St Johns College, Anchal",Kollam,Aided,Aided
428,BCom - Accounts and Data Science,1,3,"St Johns College, Anchal",Kollam,Aided,Aided
429,BA - Economics,0,1,"H.H.M.S.P.B. N.S.S. College for Women, Neeramankara",Thiruvananthapuram,Aided,Aided
430,BA - English,0,0,"H.H.M.S.P.B. N.S.S. College for Women, Neeramankara",Thiruvananthapuram,Aided,Aided
431,BA - Hindi,8,2,"H.H.M.S.P.B. N.S.S. College for Women, Neeramankara",Thiruvananthapuram,Aided,Aided
432,BA - History,1,0,"H.H.M.S.P.B. N.S.S. College for Women, Neeramankara",Thiruvananthapuram,Aided,Aided
433,BA - Malayalam,0,0,"H.H.M.S.P.B. N.S.S. College for Women, Neeramankara",Thiruvananthapuram,Aided,Aided
434,BA - Philosophy,1,2,"H.H.M.S.P.B. N.S.S. College for Women, Neeramankara",Thiruvananthapuram,Aided,Aided
435,BSc - Botany,3,2,"H.H.M.S.P.B. N.S.S. College for Women, Neeramankara",Thiruvananthapuram,Aided,Aided
436,BSc - Chemistry,1,1,"H.H.M.S.P.B. N.S.S. College for Women, Neeramankara",Thiruvananthapuram,Aided,Aided
437,BSc - Home Science,4,0,"H.H.M.S.P.B. N.S.S. College for Women, Neeramankara",Thiruvananthapuram,Aided,Aided
438,BSc - Mathematics,20,2,"H.H.M.S.P.B. N.S.S. College for Women, Neeramankara",Thiruvananthapuram,Aided,Aided
439,BSc - Physics,3,1,"H.H.M.S.P.B. N.S.S. College for Women, Neeramankara",Thiruvananthapuram,Aided,Aided
440,BSc - Zoology,1,2,"H.H.M.S.P.B. N.S.S. College for Women, Neeramankara",Thiruvananthapuram,Aided,Aided
441,BCom - Finance,0,2,"H.H.M.S.P.B. N.S.S. College for Women, Neeramankara",Thiruvananthapuram,Aided,Aided
442,BA - Economics,8,3,"St Stephens College, Pathanapuram",Kollam,Aided,Aided
443,BA - English,10,2,"St Stephens College, Pathanapuram",Kollam,Aided,Aided
444,BSc - Botany,12,2,"St Stephens College, Pathanapuram",Kollam,Aided,Aided
445,BSc - Chemistry,19,2,"St Stephens College, Pathanapuram",Kollam,Aided,Aided
446,BSc - Mathematics,30,2,"St Stephens College, Pathanapuram",Kollam,Aided,Aided
447,BSc - Physics,16,2,"St Stephens College, Pathanapuram",Kollam,Aided,Aided
448,BSc - Zoology,4,2,"St Stephens College, Pathanapuram",Kollam,Aided,Aided
449,BCom - Finance,0,2,"St Stephens College, Pathanapuram",Kollam,Aided,Aided
450,BA - Economics,3,3,"N S S College, Cherthala",Alappuzha,Aided,Aided
451,BA - English,3,2,"N S S College, Cherthala",Alappuzha,Aided,Aided
452,BA - History,3,3,"N S S College, Cherthala",Alappuzha,Aided,Aided
453,BA - Malayalam,4,0,"N S S College, Cherthala",Alappuzha,Aided,Aided
454,BSc - Botany,11,2,"N S S College, Cherthala",Alappuzha,Aided,Aided
455,BSc - Chemistry,12,2,"N S S College, Cherthala",Alappuzha,Aided,Aided
456,BSc - Environmental Science and Water Management,9,1,"N S S College, Cherthala",Alappuzha,Aided,Aided
457,BSc - Mathematics,30,2,"N S S College, Cherthala",Alappuzha,Aided,Aided
458,BSc - Physics,19,2,"N S S College, Cherthala",Alappuzha,Aided,Aided
459,BSc - Zoology,15,2,"N S S College, Cherthala",Alappuzha,Aided,Aided
460,BCom - Finance,0,2,"N S S College, Cherthala",Alappuzha,Aided,Aided
461,BSc - Computer Science,21,2,"University Institute of Technology,Pirappancode",Thiruvananthapuram,Private,University Governed - Self Financing
462,BCom - Commerce with Computer Application,8,3,"University Institute of Technology,Pirappancode",Thiruvananthapuram,Private,University Governed - Self Financing
463,BBA - Business Administration,19,2,"University Institute of Technology,Pirappancode",Thiruvananthapuram,Private,University Governed - Self Financing
464,BSc - Computer Science,48,2,"University Institute of Technology,Pathanapuram",Kollam,Private,University Governed - Self Financing
465,BCom - Commerce with Computer Application,41,3,"University Institute of Technology,Pathanapuram",Kollam,Private,University Governed - Self Financing
466,BBA - Business Administration,49,2,"University Institute of Technology,Pathanapuram",Kollam,Private,University Governed - Self Financing
467,BSc - Computer Science,7,2,"University Institute of Technology,Adoor",Pathanamthitta,Private,University Governed - Self Financing
468,BBA - Business Administration,18,3,"University Institute of Technology,Adoor",Pathanamthitta,Private,University Governed - Self Financing
469,BSc - Computer Science,7,2,"University Institute of Technology,Mulamkadakam",Kollam,Private,University Governed - Self Financing
470,BCom - Commerce with Computer Application,3,2,"University Institute of Technology,Mulamkadakam",Kollam,Private,University Governed - Self Financing
471,BBA - Business Administration,2,3,"University Institute of Technology,Mulamkadakam",Kollam,Private,University Governed - Self Financing
472,BCom - Commerce & Tax Procedure and Practice,45,2,"University Institute of Technology,Kattayikonam",Thiruvananthapuram,Private,University Governed - Self Financing
473,BCom - Commerce & Tourism and Travel Management,52,2,"University Institute of Technology,Kattayikonam",Thiruvananthapuram,Private,University Governed - Self Financing
474,BA - English & Communicative English,34,2,"University Institute of Technology-Regional Centre, Pallickal,Kilimanoor",Thiruvananthapuram,Private,University Governed - Self Financing
475,BCom - Commerce & Tax Procedure and Practice,31,2,"University Institute of Technology-Regional Centre, Pallickal,Kilimanoor",Thiruvananthapuram,Private,University Governed - Self Financing
476,BCom - Commerce & Tax Procedure and Practice,54,2,"University Institute of Technology,Chengannur",Alappuzha,Private,University Governed - Self Financing
477,BBA - Business Administration,49,2,"University Institute of Technology,Chengannur",Alappuzha,Private,University Governed - Self Financing
478,BCom - Commerce & Tax Procedure and Practice,28,2,"University Institute of Technology,Bharanickavu,Kayamkulam",Alappuzha,Private,University Governed - Self Financing
479,BBA - Business Administration,39,2,"University Institute of Technology,Bharanickavu,Kayamkulam",Alappuzha,Private,University Governed - Self Financing
480,BCom - Commerce & Tax Procedure and Practice,42,2,"University Institute of Technology,Aroor",Alappuzha,Private,University Governed - Self Financing
481,BCom - Co-operation,41,2,"University Institute of Technology,Aroor",Alappuzha,Private,University Governed - Self Financing
482,BA - English,59,2,"University Institute of Technology,Paravur(Chathanur)",Kollam,Private,University Governed - Self Financing
483,BCom - Commerce with Computer Application,59,2,"University Institute of Technology,Paravur(Chathanur)",Kollam,Private,University Governed - Self Financing
484,BBA - Business Administration,44,2,"University Institute of Technology,Paravur(Chathanur)",Kollam,Private,University Governed - Self Financing
485,BSc - Computer Science,3,2,"University Institute of Technology,Kuravankonam",Thiruvananthapuram,Private,University Governed - Self Financing
486,BSc - Electronics,34,2,"University Institute of Technology,Kuravankonam",Thiruvananthapuram,Private,University Governed - Self Financing
487,BSc - Computer Science,22,2,"University Institute of Technology,Neyyattinkara",Thiruvananthapuram,Private,University Governed - Self Financing
488,BBA - Business Administration,26,3,"University Institute of Technology,Neyyattinkara",Thiruvananthapuram,Private,University Governed - Self Financing
489,BSc - Computer Science,40,1,"University Institute of Technology,Muthukulam, Haripad",Alappuzha,Private,University Governed - Self Financing
490,BCom - Commerce with Computer Application,51,2,"University Institute of Technology,Muthukulam, Haripad",Alappuzha,Private,University Governed - Self Financing
491,BSc - Computer Science,8,2,"University Institute of Technology,Alappuzha",Alappuzha,Private,University Governed - Self Financing
492,BCom - Commerce with Computer Application,7,2,"University Institute of Technology,Alappuzha",Alappuzha,Private,University Governed - Self Financing
493,BBA - Business Administration,15,3,"University Institute of Technology,Alappuzha",Alappuzha,Private,University Governed - Self Financing
494,BCom - Co-operation,6,2,"University Institute of Technology,Alappuzha",Alappuzha,Private,University Governed - Self Financing
495,BSc - Computer Science,37,2,"University Institute of Technology,Yeroor, Anchal",Kollam,Private,University Governed - Self Financing
496,BCom - Commerce with Computer Application,27,2,"University Institute of Technology,Yeroor, Anchal",Kollam,Private,University Governed - Self Financing
497,BBA - Business Administration,30,1,"University Institute of Technology,Charamangalam",Alappuzha,Private,University Governed - Self Financing
498,BCom - Co-operation,36,2,"University Institute of Technology,Charamangalam",Alappuzha,Private,University Governed - Self Financing
499,BA - English,30,1,"University Institute of Technology,Pathiyoor",Alappuzha,Private,University Governed - Self Financing
500,BCom - Commerce with Computer Application,25,2,"University Institute of Technology,Pathiyoor",Alappuzha,Private,University Governed - Self Financing
501,BCom - Commerce with Computer Application,17,2,"University Institute of Technology,Malayinkeezh, Kattakkada",Thiruvananthapuram,Private,University Governed - Self Financing
502,BCA - Computer Applications,9,2,"University Institute of Technology,Malayinkeezh, Kattakkada",Thiruvananthapuram,Private,University Governed - Self Financing
503,BSc - Computer Science,55,1,"University Institute of Technology,Tholicode",Thiruvananthapuram,Private,University Governed - Self Financing
504,BCom - Commerce with Computer Application,54,2,"University Institute of Technology,Tholicode",Thiruvananthapuram,Private,University Governed - Self Financing
505,BCom - Commerce with Computer Application,49,2,"University Institute of Technology,Veli,Sambhuvattom,Kochuveli",Thiruvananthapuram,Private,University Governed - Self Financing
506,BBA - Business Administration,55,1,"University Institute of Technology,Veli,Sambhuvattom,Kochuveli",Thiruvananthapuram,Private,University Governed - Self Financing
507,BCom - Commerce with Computer Application,57,2,"University Institute of Technology,Kanjiramkulam, Panchayath Marketing Complex (Kanjiramkulam Jn.)",Thiruvananthapuram,Private,University Governed - Self Financing
508,BCA - Computer Applications,59,1,"University Institute of Technology,Kanjiramkulam, Panchayath Marketing Complex (Kanjiramkulam Jn.)",Thiruvananthapuram,Private,University Governed - Self Financing
509,BSc - Computer Science,28,2,"University Institute of Technology,Ittiva,Charuparambu,Chadayamangalam",Kollam,Private,University Governed - Self Financing
510,BCom - Commerce with Computer Application,28,2,"University Institute of Technology,Ittiva,Charuparambu,Chadayamangalam",Kollam,Private,University Governed - Self Financing
511,BSc - Computer Science,40,2,"University Institute of Technology,Azhoor,Chirayinkeezh",Thiruvananthapuram,Private,University Governed - Self Financing
512,BCom - Commerce with Computer Application,28,1,"University Institute of Technology,Azhoor,Chirayinkeezh",Thiruvananthapuram,Private,University Governed - Self Financing
513,BA - English,47,1,"University Institute of Technology,Kallara,Vamanapuram",Thiruvananthapuram,Private,University Governed - Self Financing
514,BCom - Co-operation,46,2,"University Institute of Technology,Kallara,Vamanapuram",Thiruvananthapuram,Private,University Governed - Self Financing
515,BA - English,43,2,"University Institute of Technology,Vellarada",Thiruvananthapuram,Private,University Governed - Self Financing
516,BSc - Computer Science,52,2,"University Institute of Technology,Vellarada",Thiruvananthapuram,Private,University Governed - Self Financing
517,BCom - Commerce with Computer Application,44,3,"University Institute of Technology,Vellarada",Thiruvananthapuram,Private,University Governed - Self Financing
518,BCom - Commerce with Computer Application,27,2,"University Institute of Technology,Vakkom,Attingal",Thiruvananthapuram,Private,University Governed - Self Financing
519,BCA - Computer Applications,37,2,"University Institute of Technology,Vakkom,Attingal",Thiruvananthapuram,Private,University Governed - Self Financing
520,BCom - Commerce with Computer Application,47,2,"University Institute of Technology,Mannady",Pathanamthitta,Private,University Governed - Self Financing
521,BCA - Computer Applications,33,2,"University Institute of Technology,Mannady",Pathanamthitta,Private,University Governed - Self Financing
522,BCom - Commerce with Computer Application,37,2,"University Institute of Technology,Mannar",Alappuzha,Private,University Governed - Self Financing
523,BBA - Business Administration,39,3,"University Institute of Technology,Mannar",Alappuzha,Private,University Governed - Self Financing
524,BCom - Commerce with Computer Application,18,2,"University Institute of Technology,Mukhathala",Kollam,Private,University Governed - Self Financing
525,BCA - Computer Applications,21,2,"University Institute of Technology,Mukhathala",Kollam,Private,University Governed - Self Financing
526,BCom - Commerce with Computer Application,30,2,"University Institute of Technology,Thenmala",Kollam,Private,University Governed - Self Financing
527,BBA - Business Administration,37,2,"University Institute of Technology,Thenmala",Kollam,Private,University Governed - Self Financing
528,BCom - Commerce with Computer Application,44,2,"University Institute of Technology,Sasthamkotta",Kollam,Private,University Governed - Self Financing
529,BBA - Business Administration,46,2,"University Institute of Technology,Sasthamkotta",Kollam,Private,University Governed - Self Financing
530,BCom - Commerce with Computer Application,42,2,"University Institute of Technology,Kottarakkara",Kollam,Private,University Governed - Self Financing
531,BCA - Computer Applications,10,2,"University Institute of Technology,Kottarakkara",Kollam,Private,University Governed - Self Financing
532,BBA - Business Administration,33,3,"University Institute of Technology,Kottarakkara",Kollam,Private,University Governed - Self Financing
533,BA - Malayalam and Mass Communication,35,2,"University Institute of Technology,Mannancheri",Alappuzha,Private,University Governed - Self Financing
534,BCom - Commerce & Tourism and Travel Management,21,2,"University Institute of Technology,Mannancheri",Alappuzha,Private,University Governed - Self Financing
535,BSc - Computer Science,40,2,"University Institute of Technology,Karuvatta",Alappuzha,Private,University Governed - Self Financing
536,BCom - Commerce & Tax Procedure and Practice,45,2,"University Institute of Technology,Karuvatta",Alappuzha,Private,University Governed - Self Financing
537,BCom - Commerce with Computer Application,36,2,"University Institute of Technology,Karuvatta",Alappuzha,Private,University Governed - Self Financing
538,BCA - Computer Applications,28,2,"University Institute of Technology,Karuvatta",Alappuzha,Private,University Governed - Self Financing
539,BSc - Computer Science,12,0,"College of Applied Science(IHRD Centre), Kundara",Kollam,Government Self Financing,Government Governed - Self Financing
540,BSc - Electronics,25,0,"College of Applied Science(IHRD Centre), Kundara",Kollam,Government Self Financing,Government Governed - Self Financing
541,BCom - Commerce & Tax Procedure and Practice,19,0,"College of Applied Science(IHRD Centre), Kundara",Kollam,Government Self Financing,Government Governed - Self Financing
542,BCom - Commerce with Computer Application,20,0,"College of Applied Science(IHRD Centre), Kundara",Kollam,Government Self Financing,Government Governed - Self Financing
543,BCom - Co-operation,8,0,"College of Applied Science(IHRD Centre), Kundara",Kollam,Government Self Financing,Government Governed - Self Financing
544,BSc - Computer Science,8,0,"College of Applied Science(IHRD Centre), Mavelikkara",Alappuzha,Government Self Financing,Government Governed - Self Financing
545,BSc - Electronics,9,0,"College of Applied Science(IHRD Centre), Mavelikkara",Alappuzha,Government Self Financing,Government Governed - Self Financing
546,BSc - Physics and Computer Application,20,0,"College of Applied Science(IHRD Centre), Mavelikkara",Alappuzha,Government Self Financing,Government Governed - Self Financing
547,BCom - Commerce & Tax Procedure and Practice,13,0,"College of Applied Science(IHRD Centre), Mavelikkara",Alappuzha,Government Self Financing,Government Governed - Self Financing
548,BCom - Commerce with Computer Application,11,0,"College of Applied Science(IHRD Centre), Mavelikkara",Alappuzha,Government Self Financing,Government Governed - Self Financing
549,BCA - Computer Applications,7,0,"College of Applied Science(IHRD Centre), Mavelikkara",Alappuzha,Government Self Financing,Government Governed - Self Financing
